model,cm,ds,ms,snr,rate_perfect,rate_model,loss_pct,n
MODEL,C,1e-07,30,25.0,13.184943880208333,12.647682356770833,4.074810847272346,120000.0
MODEL,C,3e-07,1,0.0,5.012392545572917,4.9900293619791665,0.44615786553872594,120000.0
MODEL,C,3e-07,1,5.0,6.641710953776042,6.631041048177083,0.1606499541039545,120000.0
MODEL,C,3e-07,1,10.0,8.292513671875,8.2861857421875,0.07630894488556672,120000.0
MODEL,C,3e-07,1,15.0,9.9502486328125,9.945411686197916,0.04861131407945565,120000.0
MODEL,C,3e-07,1,20.0,11.610190234375,11.605957747395834,0.0364549322080439,120000.0
MODEL,C,3e-07,1,25.0,13.270830729166667,13.26680576171875,0.030329430990861862,120000.0
MODEL,C,3e-07,30,0.0,4.923959505208333,4.4588275716145835,9.446298920650234,120000.0
MODEL,C,3e-07,30,5.0,6.548779475911458,6.143940234375,6.181903712372494,120000.0
MODEL,C,3e-07,30,10.0,8.198077213541668,7.810882486979167,4.722994386085174,120000.0
MODEL,C,3e-07,30,15.0,9.855327994791667,9.473741145833333,3.871883809042114,120000.0
MODEL,C,3e-07,30,20.0,11.515114908854168,11.135333268229166,3.2981142058163995,120000.0
MODEL,C,3e-07,30,25.0,13.175706966145833,12.796094205729167,2.881156672594935,120000.0
MODEL,D,3e-08,1,0.0,5.026294010416667,5.014160319010417,0.24140433052868962,120000.0
MODEL,D,3e-08,1,5.0,6.656254296875,6.650758805338541,0.08256132189899196,120000.0
MODEL,D,3e-08,1,10.0,8.3072701171875,8.303998990885416,0.03937666954292717,120000.0
MODEL,D,3e-08,1,15.0,9.965073470052083,9.962485546875,0.025969935744686628,120000.0
MODEL,D,3e-08,1,20.0,11.6250365234375,11.622596875,0.02098615718394834,120000.0
MODEL,D,3e-08,1,25.0,13.285683658854166,13.283180729166666,0.018839299141614262,120000.0
MODEL,D,3e-08,30,0.0,4.998242171223958,4.938564371744792,1.1939757505697732,120000.0
MODEL,D,3e-08,30,5.0,6.6267380533854165,6.58583876953125,0.6171857635639016,120000.0
MODEL,D,3e-08,30,10.0,8.27726396484375,8.242748209635417,0.4169947382967594,120000.0
MODEL,D,3e-08,30,15.0,9.934910286458333,9.9024884765625,0.3263422513238544,120000.0
MODEL,D,3e-08,30,20.0,11.594823014322916,11.562930533854166,0.27505793257347555,120000.0
MODEL,D,3e-08,30,25.0,13.25545419921875,13.223565983072916,0.24056675589217807,120000.0
MODEL,D,1e-07,1,0.0,5.022149251302083,5.006010172526041,0.3213580076668818,120000.0
MODEL,D,1e-07,1,5.0,6.651923795572917,6.644191129557291,0.11624706255312132,120000.0
MODEL,D,1e-07,1,10.0,8.302877604166667,8.297869401041666,0.060318884172014045,120000.0
MODEL,D,1e-07,1,15.0,9.960661393229167,9.956535221354166,0.041424677660517065,120000.0
MODEL,D,1e-07,1,20.0,11.62061796875,11.616673502604167,0.033943686613234,120000.0
MODEL,D,1e-07,1,25.0,13.281263118489584,13.2773158203125,0.02972080397675366,120000.0
MODEL,D,1e-07,30,0.0,4.9965298828125,4.94719853515625,0.9873121709117422,120000.0
MODEL,D,1e-07,30,5.0,6.6250345703125,6.589739095052083,0.5327591107007847,120000.0
MODEL,D,1e-07,30,10.0,8.275565983072916,8.2446142578125,0.37401339465753514,120000.0
MODEL,D,1e-07,30,15.0,9.933213053385417,9.904303841145833,0.2910358620540397,120000.0
MODEL,D,1e-07,30,20.0,11.593127115885416,11.564761002604167,0.2446804300315217,120000.0
MODEL,D,1e-07,30,25.0,13.2537583984375,13.225561783854166,0.21274429286908636,120000.0
MODEL,D,3e-07,1,0.0,5.025178548177084,5.0059396484375,0.3828500729901996,120000.0
MODEL,D,3e-07,1,5.0,6.655090006510417,6.64525234375,0.14782163352851152,120000.0
MODEL,D,3e-07,1,10.0,8.306089095052084,8.299172135416667,0.08327576981490899,120000.0
MODEL,D,3e-07,1,15.0,9.96388671875,9.957821223958334,0.0608747867461471,120000.0
MODEL,D,3e-07,1,20.0,11.623848893229166,11.61801748046875,0.05016765801053577,120000.0
MODEL,D,3e-07,1,25.0,13.2844951171875,13.278713118489584,0.04352441434101188,120000.0
MODEL,D,3e-07,30,0.0,4.99809990234375,4.95227802734375,0.9167858965466559,120000.0
MODEL,D,3e-07,30,5.0,6.626738981119792,6.592983040364583,0.509389925442709,120000.0
MODEL,D,3e-07,30,10.0,8.277316178385417,8.247382454427083,0.36163562334976224,120000.0
MODEL,D,3e-07,30,15.0,9.934978580729167,9.906929557291667,0.2823259578224629,120000.0
MODEL,D,3e-07,30,20.0,11.594896614583334,11.567473828125,0.236507382255085,120000.0
MODEL,D,3e-07,30,25.0,13.255529557291666,13.228389290364584,0.20474675726669048,120000.0
