model,cm,ds,ms,snr,rate_perfect,rate_model,loss_pct,n
DD_KOOP8,D,3e-08,30,15.0,9.934910286458333,9.8717892578125,0.6353457336385757,120000.0
DD_KOOP8,D,3e-08,30,20.0,11.594823014322916,11.532800162760417,0.5349184846192434,120000.0
DD_KOOP8,D,3e-08,30,25.0,13.25545419921875,13.19406474609375,0.46312598725299764,120000.0
DD_KOOP8,D,1e-07,1,0.0,5.022149251302083,5.0031751953125,0.37780748918729223,120000.0
DD_KOOP8,D,1e-07,1,5.0,6.651923795572917,6.642521158854167,0.14135214124082537,120000.0
DD_KOOP8,D,1e-07,1,10.0,8.302877604166667,8.29822822265625,0.05599723050335584,120000.0
DD_KOOP8,D,1e-07,1,15.0,9.960661393229167,9.958053059895834,0.02618634677317626,120000.0
DD_KOOP8,D,1e-07,1,20.0,11.62061796875,11.618846321614583,0.015245722217022247,120000.0
DD_KOOP8,D,1e-07,1,25.0,13.281263118489584,13.2798126953125,0.010920822546341002,120000.0
DD_KOOP8,D,1e-07,30,0.0,4.9965298828125,4.898419303385417,1.9635743551654254,120000.0
DD_KOOP8,D,1e-07,30,5.0,6.6250345703125,6.557816617838542,1.0146053090072726,120000.0
DD_KOOP8,D,1e-07,30,10.0,8.275565983072916,8.220702473958333,0.6629577871386927,120000.0
DD_KOOP8,D,1e-07,30,15.0,9.933213053385417,9.883087434895833,0.5046264307448908,120000.0
DD_KOOP8,D,1e-07,30,20.0,11.593127115885416,11.545376139322917,0.411890390618322,120000.0
DD_KOOP8,D,1e-07,30,25.0,13.2537583984375,13.20693603515625,0.3532761189216273,120000.0
DD_KOOP8,D,3e-07,1,0.0,5.025178548177084,5.002114095052083,0.458977783652427,120000.0
DD_KOOP8,D,3e-07,1,5.0,6.655090006510417,6.642614436848958,0.18745906740937116,120000.0
DD_KOOP8,D,3e-07,1,10.0,8.306089095052084,8.29891728515625,0.08634400394411584,120000.0
DD_KOOP8,D,3e-07,1,15.0,9.96388671875,9.959122135416667,0.04781852170566565,120000.0
DD_KOOP8,D,3e-07,1,20.0,11.623848893229166,11.620044921875,0.03272557471374417,120000.0
DD_KOOP8,D,3e-07,1,25.0,13.2844951171875,13.280985709635416,0.026417319748519203,120000.0
DD_KOOP8,D,3e-07,30,0.0,4.99809990234375,4.913690006510417,1.6888397087411282,120000.0
DD_KOOP8,D,3e-07,30,5.0,6.626738981119792,6.571706722005208,0.8304576243515231,120000.0
DD_KOOP8,D,3e-07,30,10.0,8.277316178385417,8.2337208984375,0.5266837584597484,120000.0
DD_KOOP8,D,3e-07,30,15.0,9.934978580729167,9.896425162760417,0.3880573838732935,120000.0
DD_KOOP8,D,3e-07,30,20.0,11.594896614583334,11.558824869791666,0.3111001847683515,120000.0
DD_KOOP8,D,3e-07,30,25.0,13.255529557291666,13.220757454427083,0.2623214916785823,120000.0
