cm,ds,ms,snr,rate_perfect,rate_ours,rate_published,loss_ours_pct,loss_published_pct,n
D,1e-07,1,25.0,13.281263118489584,13.2798126953125,13.2773158203125,0.010920822546341,0.0297208039767536,120000.0
D,1e-07,30,0.0,4.9965298828125,4.898419303385417,4.94719853515625,1.9635743551654252,0.9873121709117422,120000.0
D,1e-07,30,5.0,6.6250345703125,6.557816617838542,6.589739095052083,1.0146053090072726,0.5327591107007847,120000.0
D,1e-07,30,10.0,8.275565983072916,8.220702473958333,8.2446142578125,0.6629577871386927,0.3740133946575351,120000.0
D,1e-07,30,15.0,9.933213053385415,9.883087434895833,9.904303841145833,0.5046264307448908,0.2910358620540397,120000.0
D,1e-07,30,20.0,11.593127115885416,11.545376139322917,11.564761002604168,0.411890390618322,0.2446804300315217,120000.0
D,1e-07,30,25.0,13.2537583984375,13.20693603515625,13.225561783854166,0.3532761189216273,0.2127442928690863,120000.0
D,3e-07,1,0.0,5.025178548177084,5.002114095052083,5.0059396484375,0.458977783652427,0.3828500729901996,120000.0
D,3e-07,1,5.0,6.655090006510417,6.642614436848958,6.64525234375,0.1874590674093711,0.1478216335285115,120000.0
D,3e-07,1,10.0,8.306089095052084,8.29891728515625,8.299172135416667,0.0863440039441158,0.0832757698149089,120000.0
D,3e-07,1,15.0,9.96388671875,9.959122135416669,9.957821223958334,0.0478185217056656,0.0608747867461471,120000.0
D,3e-07,1,20.0,11.623848893229166,11.620044921875,11.61801748046875,0.0327255747137441,0.0501676580105357,120000.0
D,3e-07,1,25.0,13.2844951171875,13.280985709635416,13.278713118489584,0.0264173197485192,0.0435244143410118,120000.0
D,3e-07,30,0.0,4.99809990234375,4.913690006510417,4.95227802734375,1.6888397087411282,0.916785896546656,120000.0
D,3e-07,30,5.0,6.626738981119792,6.571706722005208,6.592983040364583,0.8304576243515231,0.509389925442709,120000.0
D,3e-07,30,10.0,8.277316178385417,8.2337208984375,8.247382454427083,0.5266837584597484,0.3616356233497622,120000.0
D,3e-07,30,15.0,9.934978580729169,9.896425162760416,9.906929557291669,0.3880573838732935,0.2823259578224629,120000.0
D,3e-07,30,20.0,11.594896614583334,11.558824869791666,11.567473828125,0.3111001847683515,0.236507382255085,120000.0
D,3e-07,30,25.0,13.255529557291666,13.220757454427083,13.228389290364584,0.2623214916785823,0.2047467572666904,120000.0
