cm,ds,ms,ours,published,diff,speed_band
A,4e-07,42,0.4838843366666667,2.1568975541666666,-1.6730132174999999,gt30
C,5e-08,3,0.037916373333333336,0.7822038520833333,-0.74428747875,le10
C,5e-08,6,0.08199730791666666,0.7363199925,-0.6543226845833333,le10
C,5e-08,9,0.14546813291666666,0.9135129916666666,-0.76804485875,le10
C,5e-08,12,0.1880091975,0.8745867854166667,-0.6865775879166667,10to30
C,5e-08,15,0.26443948208333334,0.8366889866666667,-0.5722495045833333,10to30
C,5e-08,18,0.42194109458333334,0.9030791508333333,-0.48113805625,10to30
C,5e-08,21,0.43961698541666666,0.9854091700000001,-0.5457921845833333,10to30
C,5e-08,24,0.480198895,0.9340487608333333,-0.4538498658333333,10to30
C,5e-08,27,0.5597255770833333,0.9623495224999999,-0.4026239454166667,10to30
C,5e-08,33,0.7093138883333333,1.0352801733333334,-0.32596628500000013,gt30
C,5e-08,36,0.88283193875,1.10347886375,-0.22064692499999994,gt30
C,5e-08,42,0.9669693874999999,1.0832018016666667,-0.11623241416666674,gt30
C,2e-07,3,0.02950608791666667,1.0911112333333335,-1.0616051454166668,le10
C,2e-07,6,0.06132161083333334,1.1377186625,-1.0763970516666665,le10
C,2e-07,9,0.09281081333333334,1.1279032541666667,-1.0350924408333333,le10
C,2e-07,12,0.14976243625,1.1185770125,-0.9688145762500001,10to30
C,2e-07,15,0.22027000083333334,1.0963065666666667,-0.8760365658333333,10to30
C,2e-07,18,0.25747852666666665,1.0795280416666666,-0.822049515,10to30
C,2e-07,21,0.29524725,1.1049705458333332,-0.8097232958333331,10to30
C,2e-07,24,0.4035875166666667,1.0913718208333332,-0.6877843041666665,10to30
C,2e-07,27,0.4140828425,1.1514786166666666,-0.7373957741666666,10to30
C,2e-07,33,0.52368773125,1.1051233500000002,-0.5814356187500002,gt30
C,2e-07,36,0.526715685,1.0736991958333333,-0.5469835108333333,gt30
C,2e-07,42,0.6630707316666667,1.1236972875,-0.46062655583333323,gt30
C,4e-07,3,0.031629929583333334,1.7307479833333332,-1.69911805375,le10
C,4e-07,6,0.05200104375,1.7227749833333332,-1.6707739395833332,le10
C,4e-07,9,0.08179766583333334,1.7304177916666665,-1.6486201258333333,le10
C,4e-07,12,0.12537296708333331,1.754800825,-1.6294278579166668,10to30
C,4e-07,15,0.17803919749999997,1.6616513499999999,-1.4836121525,10to30
C,4e-07,18,0.23481154041666666,1.6023581,-1.3675465595833334,10to30
C,4e-07,21,0.29941713708333334,1.5725351041666666,-1.2731179670833332,10to30
C,4e-07,24,0.32845959875,1.5319756541666667,-1.2035160554166666,10to30
C,4e-07,27,0.3377111179166667,1.4767718333333333,-1.1390607154166665,10to30
C,4e-07,33,0.41337993791666666,1.3559534166666667,-0.94257347875,gt30
C,4e-07,36,0.48398830541666665,1.4252375458333333,-0.9412492404166666,gt30
C,4e-07,42,0.5629771804166667,1.4155835,-0.8526063195833334,gt30
D,5e-08,3,0.007557211250000001,0.06562227041666667,-0.05806505916666667,le10
D,5e-08,6,0.010793455416666667,0.0709019325,-0.060108477083333334,le10
D,5e-08,9,0.014850204166666667,0.06315680333333332,-0.04830659916666665,le10
D,5e-08,12,0.021958695833333333,0.07047147916666667,-0.04851278333333334,10to30
D,5e-08,15,0.02851277916666667,0.08494200749999999,-0.05642922833333332,10to30
D,5e-08,18,0.037943427499999995,0.07773991499999998,-0.039796487499999984,10to30
D,5e-08,21,0.045312851666666674,0.07652442208333333,-0.03121157041666666,10to30
D,5e-08,24,0.04588258041666667,0.07171588374999999,-0.025833303333333314,10to30
D,5e-08,27,0.05580407125,0.08450425833333335,-0.02870018708333335,10to30
D,5e-08,33,0.06783103083333333,0.08833956583333334,-0.02050853500000001,gt30
D,5e-08,36,0.07661426916666667,0.08744406708333334,-0.010829797916666675,gt30
D,5e-08,42,0.10027809291666667,0.09664344833333333,0.0036346445833333463,gt30
D,2e-07,3,0.010975504166666665,0.06300885875,-0.05203335458333333,le10
D,2e-07,6,0.0142346925,0.05784885,-0.0436141575,le10
D,2e-07,9,0.019177766250000002,0.062059318333333335,-0.04288155208333333,le10
D,2e-07,12,0.02110124375,0.05859690333333331,-0.03749565958333331,10to30
D,2e-07,15,0.029751005416666667,0.06285133166666666,-0.03310032624999999,10to30
D,2e-07,18,0.03321420208333333,0.06694305249999997,-0.03372885041666664,10to30
D,2e-07,21,0.040665614999999995,0.06649917499999997,-0.02583355999999997,10to30
D,2e-07,24,0.04671374666666667,0.06918468791666667,-0.02247094125,10to30
D,2e-07,27,0.05186044583333333,0.07950317874999997,-0.02764273291666664,10to30
D,2e-07,33,0.06150271416666667,0.07991696749999998,-0.01841425333333331,gt30
D,2e-07,36,0.07091473583333334,0.09103801291666667,-0.020123277083333335,gt30
D,2e-07,42,0.08997370541666667,0.09552865208333329,-0.005554946666666616,gt30
D,4e-07,3,0.015606534166666667,0.05693487833333333,-0.04132834416666666,le10
D,4e-07,6,0.019262616666666666,0.058175042499999996,-0.03891242583333333,le10
D,4e-07,9,0.023042307083333335,0.059505963333333335,-0.036463656250000004,le10
D,4e-07,12,0.025736257083333335,0.05717274999999999,-0.031436492916666656,10to30
D,4e-07,15,0.0341369025,0.06378153874999996,-0.02964463624999996,10to30
D,4e-07,18,0.037336737083333335,0.06545760083333331,-0.028120863749999975,10to30
D,4e-07,21,0.042878966250000004,0.07105305375,-0.028174087499999993,10to30
D,4e-07,24,0.04736189125,0.07312020625,-0.025758314999999997,10to30
D,4e-07,27,0.04955704291666666,0.07046186583333333,-0.02090482291666667,10to30
D,4e-07,33,0.06725519958333333,0.08388326041666666,-0.016628060833333333,gt30
D,4e-07,36,0.07786151666666667,0.08289995333333329,-0.005038436666666618,gt30
D,4e-07,42,0.07753889791666667,0.09125876375000001,-0.013719865833333345,gt30
