angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
68,-1.4726215600967407,4.578627586364746,3.8397135138511658,5.719417214393616,2.048502480983734,9.006532239913941,4.931276448526316,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
69,-1.448077917098999,4.513490200042725,3.8136194944381714,5.589529991149902,1.9959633946418762,8.562200784683228,4.8110684486913184,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
70,-1.4235341548919678,4.519810914993286,3.833072304725647,5.569209098815918,1.968456494808197,8.117144060134889,4.753777434736904,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
71,-1.398990511894226,4.613214731216431,3.9371800422668457,5.649246096611023,1.9666451871395112,7.7685712575912484,4.775270713567734,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
72,-1.3744468688964844,4.803819894790649,4.102298021316528,5.803363919258118,1.9979456067085266,7.618161678314212,4.879603780378346,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
73,-1.3499031066894531,5.077817678451538,4.259254813194275,5.98434841632843,2.0896405935287476,7.6990580558776855,5.057833416989004,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
74,-1.3253594636917114,5.404459714889526,4.3554487228393555,6.24660849571228,2.176336431503296,7.997614049911499,5.2912327425802745,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
75,-1.3008158206939697,5.758868932723999,4.369320034980774,6.61066210269928,2.2663725137710573,8.453313255310059,5.556162228811946,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
76,-1.2762720584869385,6.126741409301758,4.411006331443787,7.021369099617004,2.341960370540619,8.972719860076905,5.828156283670277,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
77,-1.2517284154891968,6.462138891220093,4.47568953037262,7.4201918840408325,2.3415403962135315,9.482011222839356,6.084298338445801,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
78,-1.2271846532821655,6.722908973693848,4.536917686462402,7.774378538131714,2.3432432413101196,9.912294673919678,6.304124044399295,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
79,-1.2026410102844238,6.913822650909424,4.582589864730835,8.051398277282715,2.359628665447235,10.226952266693116,6.4697848040169035,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
80,-1.1780972480773926,7.028961181640625,4.572685956954956,8.234528064727783,2.367410457134247,10.408633613586426,6.566856949072745,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
81,-1.1535536050796509,7.0623815059661865,4.534689784049988,8.315632581710815,2.3679412245750426,10.457276105880737,6.585934686848411,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
82,-1.1290098428726196,7.0055296421051025,4.451723575592041,8.276814460754395,2.3301726579666138,10.36015362739563,6.523793520903974,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
